client1,client2,value1,time
952388162150367322,799885323982340146,99.0,2023-06-11 22:54:34.434660-04:00
630543219461193738,377661680043425793,6.6,2023-06-11 22:59:25.755093-04:00
494316157864640519,657627973754552401,6.6,2023-06-11 23:32:09.446471-04:00
445318809004408832,728405992320008332,6.6,2023-06-11 23:40:44.978123-04:00
491771607723802646,697803212832374854,6.6,2023-06-11 23:41:52.184313-04:00
491771607723802646,1016463937367195699,13.2,2023-06-14 10:14:44.428496-04:00
388176255167496200,918699878350221422,66.0,2023-06-11 23:41:55.217583-04:00
408785106942164992,906310897235009568,6.6,2023-06-11 23:56:54.137900-04:00
341997113393283093,906310897235009568,6.6,2023-06-11 23:57:49.088317-04:00
737413108775256135,751546017937096704,6.6,2023-06-12 00:04:54.989033-04:00
625187840837287937,943873702183985162,6.6,2023-06-12 00:43:41.157229-04:00
1031987322549444658,1097582027475275846,6.6,2023-06-12 00:49:08.839689-04:00
753334993241112635,652734883545743410,16.5,2023-06-20 11:02:35.081594-04:00
753334993241112635,729836457396797522,6.6,2023-06-12 01:08:53.921706-04:00
445318809004408832,975434343264686080,6.6,2023-06-12 01:16:35.154880-04:00
430842498492006420,1049878480424284233,13.2,2023-06-12 01:18:08.788354-04:00
430842498492006420,1062226006791950387,6.6,2023-06-12 01:18:08.792496-04:00
625187840837287937,446516271383707648,6.6,2023-06-12 01:25:19.792953-04:00
625187840837287937,1097582027475275846,132.3,2023-06-15 07:10:02.190034-04:00
966828978772000788,1097582027475275846,6.6,2023-06-12 02:09:35.774376-04:00
377661680043425793,353339858032525314,6.6,2023-06-12 02:18:52.455624-04:00
377661680043425793,904524239472852993,6.6,2023-06-12 02:22:27.059162-04:00
1099135223247147143,657627973754552401,66.0,2023-06-12 02:32:23.955662-04:00
1099135223247147143,483479904873218059,66.0,2023-06-12 02:32:23.959602-04:00
777295376599351307,235047680361889792,6.6,2023-06-12 02:51:36.146052-04:00
681036422597181505,915385474313490502,6.6,2023-06-12 02:56:43.124077-04:00
799885323982340146,546327918435893248,13.2,2023-06-14 09:33:54.085661-04:00
617595835122974730,420882722425143298,119.1,2023-06-17 03:53:31.572337-04:00
617595835122974730,314578645589032960,112.5,2023-06-12 03:21:43.804624-04:00
513267857358979082,1030076821611479081,6.6,2023-06-12 03:35:30.029594-04:00
424213351439269890,723665884312371210,66.0,2023-06-12 03:43:17.025006-04:00
491771607723802646,826657068865421362,6.6,2023-06-12 03:59:59.683340-04:00
617595835122974730,619804409748127744,6.6,2023-06-12 05:53:17.683607-04:00
491771607723802646,637754336201408532,6.6,2023-06-12 06:13:14.986579-04:00
341416131497820160,890656062187925506,6.6,2023-06-12 08:14:39.931879-04:00
799885323982340146,434349831713062913,6.6,2023-06-12 08:27:40.979458-04:00
490375121320542210,491771607723802646,6.6,2023-06-12 08:51:05.565052-04:00
576962723540369454,568870004536377367,66.0,2023-06-12 08:58:02.345908-04:00
576962723540369454,740093719847501886,66.0,2023-06-12 08:58:02.350512-04:00
490375121320542210,568870004536377367,6.6,2023-06-12 09:01:03.061581-04:00
333377436987293697,568870004536377367,6.6,2023-06-12 09:01:28.459250-04:00
630543219461193738,781451776439091211,6.6,2023-06-12 09:49:55.362876-04:00
952388162150367322,633943413800042516,66.0,2023-06-12 12:14:33.975016-04:00
952388162150367322,505907945272246292,66.0,2023-06-12 12:14:33.979481-04:00
952388162150367322,1049878480424284233,66.0,2023-06-12 12:14:33.984104-04:00
952388162150367322,993515826684637196,75.9,2023-06-21 00:35:51.503413-04:00
952388162150367322,537704694001434624,72.6,2023-06-16 15:02:20.001855-04:00
952388162150367322,70454292816461830,66.0,2023-06-12 12:14:33.998480-04:00
952388162150367322,2297919015144259586,66.0,2023-06-12 12:14:34.003293-04:00
952388162150367322,483109095499628584,66.0,2023-06-12 12:14:34.007833-04:00
952388162150367322,420882722425143298,66.0,2023-06-12 12:14:34.012238-04:00
911413267526742076,404363173181915148,16.5,2023-06-20 17:30:30.977912-04:00
754003072807731301,367987025586028544,6.6,2023-06-12 13:32:50.166136-04:00
134475358631231488,619731672228954167,6.6,2023-06-12 14:07:04.277893-04:00
977953361401905172,633943413800042516,6.6,2023-06-12 14:09:45.363569-04:00
406734834359074816,515762166695985162,6.6,2023-06-12 15:35:05.811062-04:00
406734834359074816,260074752914358272,6.6,2023-06-12 15:35:05.815553-04:00
416383984864329758,977953361401905172,13.2,2023-06-13 15:55:32.282741-04:00
790206782646517760,260074752914358272,6.6,2023-06-12 16:30:55.885666-04:00
